ID_SITE;NB_CLI_AB_NA;MNT_PTF_AB_NA;COD_DGR;LIB_DGR;COD_DR;LIB_DR
exp-la-baule;470;251385;1;D.G.R./OUEST;12;D.R./NANTES;
exp-grenoble;135;153301;4;D.G.R./CENTRE EST;43;D.R./ANNECY;
exp-senlis;130;244287;2;D.G.R./NORD;21;D.R./AMIENS;
exp-roye;201;311135;2;D.G.R./NORD;21;D.R./AMIENS;
exp-mareuil-les-meaux;180;297150;2;D.G.R./NORD;26;D.R./PARIS;
exp-valenciennes;132;234559;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-bourges;567;899346;2;D.G.R./NORD;23;D.R./BLOIS;
exp-clamecy;405;538526;3;D.G.R./EST;34;D.R./AUXERRE;
exp-ussel;129;228446;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-forcalquier;117;122319;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-avignon;556;669591;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-romans;206;213721;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-le-creusot;255;183000;3;D.G.R./EST;31;D.R./DIJON;
exp-nogent-le-rotrou;382;388028;2;D.G.R./NORD;23;D.R./BLOIS;
exp-niort;276;206579;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-quimper;379;278269;1;D.G.R./OUEST;14;D.R./RENNES;
exp-toulouse;662;822445;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-lisle-jourdain;40;32252;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-albi;356;337972;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-figeac;126;124235;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-colmar;141;96569;3;D.G.R./EST;31;D.R./DIJON;
exp-mulhouse;249;89382;3;D.G.R./EST;31;D.R./DIJON;
exp-petit-couronne;287;1044483;2;D.G.R./NORD;25;D.R./ROUEN;
exp-fecamp;120;97428;2;D.G.R./NORD;25;D.R./ROUEN;
exp-issoire;138;219327;4;D.G.R./CENTRE EST;42;D.R./CLERMONT FERRAND;
exp-chalus;243;297232;6;D.G.R./SUD OUEST;65;D.R./LIMOGES;
exp-royan;210;276675;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-amboise;409;493937;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-saumur;627;842141;1;D.G.R./OUEST;11;D.R./ANGERS;
